name,lat,lng,population,medianIncome,medianAge,laborForce
Chicago Loop / Near,41.8781,-87.6298,320000,95000,34,210000
Cicero,41.8456,-87.7539,81000,52000,33,40000
Aurora,41.7606,-88.3201,180000,71000,34,95000
Naperville,41.7508,-88.1535,149000,130000,39,78000
Joliet,41.525,-88.0817,150000,72000,34,74000
Elgin,42.0354,-88.2826,114000,68000,33,60000
Waukegan,42.3636,-87.8448,89000,54000,33,44000
Schaumburg,42.0334,-88.0834,78000,82000,39,46000
Oak Lawn,41.72,-87.7479,58000,71000,41,30000
"Gary, IN",41.5934,-87.3464,68000,38000,38,28000
"Hammond, IN",41.5834,-87.5,77000,49000,35,36000
"Kenosha, WI",42.5847,-87.8212,100000,62000,36,50000
Bolingbrook,41.6986,-88.0684,74000,91000,36,42000
Elwood,41.397,-88.108,2200,78000,37,1200
Rockford,42.2711,-89.094,147000,48000,36,70000
Skokie,42.0324,-87.7416,67000,84000,41,35000
